mlsfc,mcate_cd,Sex,Age,Month,time,day,fav_plc,click
문화시설,100202,M,49,8,2,토,관광지,1
문화시설,100202,F,15,6,23,일,기타문화공간,0
문화시설,100202,M,52,3,20,목,문화시설,1
문화시설,92005,F,38,1,24,토,기타문화공간,1
문화시설,92005,F,58,5,22,수,식당,1
문화시설,92005,F,44,7,7,수,기타문화공간,0
문화시설,92005,F,47,4,13,화,쇼핑,1
문화시설,100208,F,30,10,17,월,기타문화공간,1
문화시설,92005,M,32,3,16,수,레포츠,1
문화시설,100208,M,35,12,5,월,기타문화공간,0
문화시설,100209,F,58,11,11,월,쇼핑,1
문화시설,92005,M,41,10,3,월,식당,1
문화시설,100208,M,45,12,23,일,기타문화공간,0
문화시설,100208,M,43,2,23,화,레포츠,0
문화시설,100202,F,45,10,12,토,문화시설,1
문화시설,92005,M,21,3,23,수,레포츠,1
문화시설,92005,M,38,10,20,목,식당,0
문화시설,92005,M,14,2,17,화,관광지,0
문화시설,92005,F,33,12,23,목,쇼핑,1
문화시설,100208,F,29,3,19,월,관광지,1
문화시설,92005,M,45,11,19,일,문화시설,1
문화시설,100207,M,33,4,9,토,문화시설,1
문화시설,100209,F,30,8,22,월,쇼핑,1
문화시설,92005,F,43,12,9,일,관광지,0
문화시설,92005,F,32,10,22,일,문화시설,1
문화시설,100202,F,36,1,9,금,문화시설,1
문화시설,92005,F,34,11,24,일,쇼핑,1
문화시설,92005,F,32,2,14,수,식당,1
문화시설,92005,M,20,6,3,수,문화시설,1
문화시설,92005,M,28,3,23,토,식당,1
문화시설,92005,M,58,9,24,일,쇼핑,1
문화시설,100212,F,44,11,10,목,레포츠,1
문화시설,100202,M,19,4,19,월,식당,1
문화시설,100208,F,26,9,14,월,쇼핑,1
문화시설,100212,M,48,2,15,수,관광지,0
문화시설,100209,M,45,12,2,월,관광지,0
문화시설,100208,M,33,4,8,목,관광지,0
문화시설,100207,M,57,3,16,토,기타문화공간,0
문화시설,92005,M,27,2,1,토,쇼핑,1
문화시설,92005,F,15,10,13,토,기타문화공간,0
문화시설,92005,M,27,4,9,월,문화시설,1
문화시설,100103,M,29,2,18,목,문화시설,1
문화시설,100103,F,14,1,4,목,식당,0
문화시설,100103,M,46,4,10,목,관광지,0
문화시설,100103,M,19,5,11,토,레포츠,0
문화시설,100103,F,15,12,12,화,관광지,0
문화시설,100103,M,31,8,23,목,관광지,1
문화시설,100103,F,52,8,22,화,식당,1
문화시설,100203,M,51,9,10,목,레포츠,0
문화시설,100203,F,47,11,24,목,문화시설,1
문화시설,100203,M,27,4,13,화,레포츠,0
문화시설,100203,F,37,3,2,수,기타문화공간,1
문화시설,100107,F,50,7,24,토,관광지,0
문화시설,100103,F,47,8,19,화,관광지,1
문화시설,100203,F,51,2,24,월,쇼핑,1
문화시설,100103,F,36,6,9,토,식당,1
문화시설,100203,M,22,5,24,금,쇼핑,1
문화시설,100203,M,16,8,17,화,쇼핑,1
문화시설,100103,M,14,11,17,일,식당,0
문화시설,100103,M,24,5,19,일,문화시설,1
문화시설,100105,F,22,8,7,월,관광지,0
문화시설,100103,M,30,10,10,토,관광지,1
문화시설,100103,M,32,9,1,금,식당,1
문화시설,100103,M,56,7,8,토,쇼핑,1
문화시설,100103,M,37,4,7,일,쇼핑,1
문화시설,100105,F,24,4,16,목,레포츠,1
